"Data Source: Future Scatter Tool in the Climate Toolbox (https://climatetoolbox.org/tool/future-scatter)"
Download Date: 05/28/2024

"Location (Rectangle): 42.7400N to 44.3000N, 104.0000W to 100.0000W"

X Variable:Jan-Dec Max. Temperature(degC) 
X Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Y Variable:Jan-Dec Precipitation(mm) 
Y Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Historical(HIST): 1971-2010 
SCEN Future Scenario: 2040-2069(Lower Emissions (RCP 4.5) )
********************************************************
Model,X HIST,Y HIST, X SCEN,Y SCEN 
bcc-csm1-1,16.19666666666667,457.3,18.83777777777778,487
bcc-csm1-1-m,16.200555555555557,460.8,18.135,460.8
BNU-ESM,16.158333333333335,473.6,18.585,537.5
CanESM2,15.908333333333331,490.8,19.193888888888893,506.1
CCSM4,16.352777777777778,473.1,18.756666666666668,482.2
CNRM-CM5,16.04888888888889,472.2,18.15666666666667,506.1
CSIRO-Mk3-6-0,15.79611111111111,475.5,19.182222222222226,476.9
GFDL-ESM2M,16.182222222222222,467.2,17.339444444444446,510.4
GFDL-ESM2G,15.846666666666668,492.7,18.117777777777775,504.7
HadGEM2-CC365,16.244999999999997,443.4,19.438333333333336,508.5
HadGEM2-ES365,15.905555555555557,475.1,19.787222222222226,524.7
inmcm4,16.25277777777778,461.2,17.330000000000002,467.7
IPSL-CM5A-LR,16.287222222222223,478.3,18.723333333333333,476.8
IPSL-CM5A-MR,15.909444444444444,487.4,19.167777777777776,441.7
IPSL-CM5B-LR,16.09166666666667,467.2,18.16,510.2
MIROC5,15.698888888888892,470.2,19.808333333333334,420.9
MIROC-ESM,16.060000000000002,476.4,19.68722222222222,513.9
MIROC-ESM-CHEM,16.351111111111113,463.8,19.838333333333335,526.4
MRI-CGCM3,16.11388888888889,457.4,17.028333333333336,497.2
NorESM1-M,15.863888888888889,467.7,18.556666666666665,504.1
20CMIP5ModelMean,16.073333333333338,470.6,18.691666666666663,493.2
