"Data Source: Future Scatter Tool in the Climate Toolbox (https://climatetoolbox.org/tool/future-scatter)"
Download Date: 05/28/2024

"Location (Rectangle): 42.7400N to 44.3000N, 104.0000W to 100.0000W"

X Variable:Jan-Dec Max. Temperature(degC) 
X Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Y Variable:Jan-Dec Precipitation(mm) 
Y Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Historical(HIST): 1971-2010 
SCEN Future Scenario: 2040-2069(Higher Emissions (RCP 8.5))
********************************************************
Model,X HIST,Y HIST, X SCEN,Y SCEN 
bcc-csm1-1,16.19666666666667,457.3,19.301666666666662,514.9
bcc-csm1-1-m,16.200555555555557,460.8,19.057222222222222,464.5
BNU-ESM,16.158333333333335,473.6,19.455000000000002,529.2
CanESM2,15.908333333333331,490.8,19.784444444444443,499.4
CCSM4,16.352777777777778,473.1,19.46277777777778,463.4
CNRM-CM5,16.04888888888889,472.2,19.479444444444443,483.8
CSIRO-Mk3-6-0,15.79611111111111,475.5,19.67777777777778,463.2
GFDL-ESM2M,16.182222222222222,467.2,18.369444444444444,521.1
GFDL-ESM2G,15.846666666666668,492.7,18.414444444444445,533.3
HadGEM2-CC365,16.244999999999997,443.4,20.897777777777776,522.3
HadGEM2-ES365,15.905555555555557,475.1,20.920555555555552,523.9
inmcm4,16.25277777777778,461.2,18.529999999999998,445.7
IPSL-CM5A-LR,16.287222222222223,478.3,19.619444444444444,496
IPSL-CM5A-MR,15.909444444444444,487.4,20.049444444444443,478.6
IPSL-CM5B-LR,16.09166666666667,467.2,18.762222222222224,566.8
MIROC5,15.698888888888892,470.2,20.33388888888889,448.8
MIROC-ESM,16.060000000000002,476.4,20.767222222222223,519.8
MIROC-ESM-CHEM,16.351111111111113,463.8,20.465,536
MRI-CGCM3,16.11388888888889,457.4,17.494444444444447,510.9
NorESM1-M,15.863888888888889,467.7,19.422777777777778,510.4
20CMIP5ModelMean,16.073333333333338,470.6,19.513333333333332,501.6
